frame,dt,speedKmh,throttleRaw,throttleSmoothed,vehicleSpeedFeedbackKmh,engineRpmFeedback,currentGear,targetGear,requestsShift,lastShiftDirection,timeSinceLastShiftS,kickdownActive,throttleDeltaHistory,engineRpm,upshiftSpeed,downshiftSpeed,twinState,clutchPressure
45,0.016000,10.345,1.0000,1.0000,10.345,1006.9,1,1,0,0,0.7200,1,0.0000,1273.3,70.000,0.000,3,1.0000
46,0.016000,10.468,1.0000,1.0000,10.468,1009.4,1,1,0,0,0.7360,1,0.0000,1288.5,70.000,0.000,3,1.0000
47,0.016000,10.591,1.0000,1.0000,10.591,1011.8,1,1,0,0,0.7520,1,0.0000,1303.6,70.000,0.000,3,1.0000
48,0.016000,10.713,1.0000,1.0000,10.713,1014.3,1,1,0,0,0.7680,1,0.0000,1318.7,70.000,0.000,3,1.0000
49,0.016000,10.836,1.0000,1.0000,10.836,1016.7,1,1,0,0,0.7840,1,0.0000,1333.8,70.000,0.000,3,1.0000
50,0.016000,10.959,1.0000,1.0000,10.959,1019.2,1,1,0,0,0.8000,1,0.0000,1349.0,70.000,0.000,3,1.0000
51,0.016000,11.082,1.0000,1.0000,11.082,1021.6,1,1,0,0,0.8160,1,0.0000,1364.1,70.000,0.000,3,1.0000
52,0.016000,11.205,1.0000,1.0000,11.205,1024.1,1,1,0,0,0.8320,1,0.0000,1379.2,70.000,0.000,3,1.0000
53,0.016000,11.328,1.0000,1.0000,11.328,1026.6,1,1,0,0,0.8480,1,0.0000,1394.3,70.000,0.000,3,1.0000
54,0.016000,11.451,1.0000,1.0000,11.451,1029.0,1,1,0,0,0.8640,1,0.0000,1409.4,70.000,0.000,3,1.0000
55,0.016000,11.573,1.0000,1.0000,11.573,1031.5,1,1,0,0,0.8800,1,0.0000,1424.6,70.000,0.000,3,1.0000
56,0.016000,11.696,1.0000,1.0000,11.696,1033.9,1,1,0,0,0.8960,1,0.0000,1439.7,70.000,0.000,3,1.0000
57,0.016000,11.819,1.0000,1.0000,11.819,1036.4,1,1,0,0,0.9120,1,0.0000,1454.8,70.000,0.000,3,1.0000
58,0.016000,11.942,1.0000,1.0000,11.942,1038.8,1,1,0,0,0.9280,1,0.0000,1469.9,70.000,0.000,3,1.0000
59,0.016000,12.065,1.0000,1.0000,12.065,1041.3,1,1,0,0,0.9440,1,0.0000,1485.0,70.000,0.000,3,1.0000
60,0.016000,12.187,1.0000,1.0000,12.187,1043.7,1,1,0,0,0.9600,1,0.0000,1500.1,70.000,0.000,3,1.0000
61,0.016000,12.310,1.0000,1.0000,12.310,1046.2,1,1,0,0,0.9760,1,0.0000,1515.2,70.000,0.000,3,1.0000
62,0.016000,12.433,1.0000,1.0000,12.433,1048.7,1,1,0,0,0.9920,1,0.0000,1530.3,70.000,0.000,3,1.0000
63,0.016000,12.556,1.0000,1.0000,12.556,1051.1,1,1,0,0,1.0080,1,0.0000,1545.4,70.000,0.000,3,1.0000
64,0.016000,12.678,1.0000,1.0000,12.678,1053.6,1,1,0,0,1.0240,1,0.0000,1560.6,70.000,0.000,3,1.0000
65,0.016000,12.801,1.0000,1.0000,12.801,1056.0,1,1,0,0,1.0400,1,0.0000,1575.7,70.000,0.000,3,1.0000
66,0.016000,12.924,1.0000,1.0000,12.924,1058.5,1,1,0,0,1.0560,1,0.0000,1590.8,70.000,0.000,3,1.0000
67,0.016000,13.046,1.0000,1.0000,13.046,1060.9,1,1,0,0,1.0720,1,0.0000,1605.9,70.000,0.000,3,1.0000
68,0.016000,13.169,1.0000,1.0000,13.169,1063.4,1,1,0,0,1.0880,1,0.0000,1621.0,70.000,0.000,3,1.0000
69,0.016000,13.292,1.0000,1.0000,13.292,1065.8,1,1,0,0,1.1040,1,0.0000,1636.1,70.000,0.000,3,1.0000
70,0.016000,13.414,1.0000,1.0000,13.414,1068.3,1,1,0,0,1.1200,1,0.0000,1651.2,70.000,0.000,3,1.0000
71,0.016000,13.537,1.0000,1.0000,13.537,1070.7,1,1,0,0,1.1360,1,0.0000,1666.3,70.000,0.000,3,1.0000
72,0.016000,13.660,1.0000,1.0000,13.660,1073.2,1,1,0,0,1.1520,1,0.0000,1681.4,70.000,0.000,3,1.0000
73,0.016000,13.782,1.0000,1.0000,13.782,1075.6,1,1,0,0,1.1680,1,0.0000,1696.5,70.000,0.000,3,1.0000
74,0.016000,13.905,1.0000,1.0000,13.905,1078.1,1,1,0,0,1.1840,1,0.0000,1711.6,70.000,0.000,3,1.0000
75,0.016000,14.028,1.0000,1.0000,14.028,1080.6,1,1,0,0,1.2000,1,0.0000,1726.7,70.000,0.000,3,1.0000
76,0.016000,14.150,1.0000,1.0000,14.150,1083.0,1,1,0,0,1.2160,1,0.0000,1741.7,70.000,0.000,3,1.0000
77,0.016000,14.273,1.0000,1.0000,14.273,1085.5,1,1,0,0,1.2320,1,0.0000,1756.8,70.000,0.000,3,1.0000
78,0.016000,14.396,1.0000,1.0000,14.396,1087.9,1,1,0,0,1.2480,1,0.0000,1771.9,70.000,0.000,3,1.0000
79,0.016000,14.518,1.0000,1.0000,14.518,1090.4,1,1,0,0,1.2640,1,0.0000,1787.0,70.000,0.000,3,1.0000
80,0.016000,14.641,1.0000,1.0000,14.641,1092.8,1,1,0,0,1.2800,1,0.0000,1802.1,70.000,0.000,3,1.0000
81,0.016000,14.763,1.0000,1.0000,14.763,1095.3,1,1,0,0,1.2960,1,0.0000,1817.2,70.000,0.000,3,1.0000
